question_number,issue,group,n,pct_experienced_personally,pct_experienced_or_witnessed
46,Name-calling or personal attacks,Community membership: Neutral,70,8.6,40.0
46,Name-calling or personal attacks,Community membership: Disagree,36,8.3,55.6
46,Name-calling or personal attacks,Community membership: Strongly disagree,17,5.9,47.1
46,Name-calling or personal attacks,Uses AI at work: Uses AI,308,14.6,53.9
46,Name-calling or personal attacks,Uses AI at work: Does not use AI,123,10.6,42.3
46,Name-calling or personal attacks,Contributes to open source elsewhere: Yes,228,14.0,55.3
46,Name-calling or personal attacks,Contributes to open source elsewhere: No,203,12.8,45.3
46,Name-calling or personal attacks,Volunteers outside WordPress and open source: Yes,251,14.3,55.8
46,Name-calling or personal attacks,Volunteers outside WordPress and open source: No,180,12.2,43.3
46,Name-calling or personal attacks,Income depends on WordPress: Yes,205,14.1,59.5
46,Name-calling or personal attacks,Income depends on WordPress: No,138,9.4,34.8
46,Name-calling or personal attacks,Income depends on WordPress: Partially,82,15.9,52.4
46,Harassment or targeted negative behavior,All respondents,431,13.9,51.5
46,Harassment or targeted negative behavior,Gender: Male,300,12.7,50.3
46,Harassment or targeted negative behavior,Gender: Female,80,20.0,53.8
46,Harassment or targeted negative behavior,Gender: Prefer not to answer,35,14.3,54.3
46,Harassment or targeted negative behavior,Gender: Non-binary,15,6.7,53.3
46,Harassment or targeted negative behavior,Age: 35-44,161,16.8,54.0
46,Harassment or targeted negative behavior,Age: 45-54,135,13.3,51.9
46,Harassment or targeted negative behavior,Age: 55-64,65,7.7,52.3
46,Harassment or targeted negative behavior,Age: 25-34,39,15.4,51.3
46,Harassment or targeted negative behavior,Age: 65-74,20,15.0,35.0
46,Harassment or targeted negative behavior,Location: Non-US,246,10.6,44.3
46,Harassment or targeted negative behavior,Location: US,174,18.4,61.5
46,Harassment or targeted negative behavior,Work role: Employee only,150,12.0,47.3
46,Harassment or targeted negative behavior,Work role: Owner/Exec,120,18.3,59.2
46,Harassment or targeted negative behavior,Work role: Freelancer only,79,12.7,44.3
46,Harassment or targeted negative behavior,Work role: Employee+Freelance,40,7.5,52.5
46,Harassment or targeted negative behavior,Work role: Other/Non-working,22,18.2,59.1
46,Harassment or targeted negative behavior,Work role: Employee+Owner,20,15.0,55.0
46,Harassment or targeted negative behavior,Pay status: Unpaid,248,12.5,47.2
46,Harassment or targeted negative behavior,Pay status: Paid directly,116,18.1,56.0
46,Harassment or targeted negative behavior,Pay status: Paid indirectly,67,11.9,59.7
46,Harassment or targeted negative behavior,Tenure (combined): 15+ years,135,13.3,56.3
46,Harassment or targeted negative behavior,Tenure (combined): 10-15 years,122,23.8,59.0
46,Harassment or targeted negative behavior,Tenure (combined): 6-10 years,56,10.7,50.0
46,Harassment or targeted negative behavior,Tenure (combined): 3-6 years,29,6.9,31.0
46,Harassment or targeted negative behavior,Tenure (combined): 1-2 years,15,6.7,33.3
46,Harassment or targeted negative behavior,Participation level: Occasional participation,144,9.0,49.3
46,Harassment or targeted negative behavior,Participation level: Observational only,97,12.4,50.5
46,Harassment or targeted negative behavior,Participation level: Moderately active participation,76,25.0,56.6
46,Harassment or targeted negative behavior,Participation level: Very active participation,44,13.6,63.6
46,Harassment or targeted negative behavior,Participation level: Inactive,35,14.3,48.6
46,Harassment or targeted negative behavior,Participation level: Do not participate / Not applicable,35,14.3,40.0
46,Harassment or targeted negative behavior,Participation change: No change / About the same,199,6.0,35.7
46,Harassment or targeted negative behavior,Participation change: Decreased,94,20.2,71.3
46,Harassment or targeted negative behavior,Participation change: Significantly decreased,73,24.7,76.7
46,Harassment or targeted negative behavior,Participation change: Increased,48,18.8,43.8
46,Harassment or targeted negative behavior,Participation change: Significantly increased,17,11.8,41.2
46,Harassment or targeted negative behavior,"Event relationship: Never attended, not interested",120,10.0,44.2
46,Harassment or targeted negative behavior,Event relationship: Stopped attending,94,18.1,66.0
46,Harassment or targeted negative behavior,"Event relationship: Attend, multiple times a year",91,19.8,57.1
46,Harassment or targeted negative behavior,"Event relationship: Attend, annually or occasionally",90,12.2,43.3
46,Harassment or targeted negative behavior,"Event relationship: Never attended, would like to",28,3.6,39.3
46,Harassment or targeted negative behavior,Contribution type: No contribution work,197,8.6,44.2
46,Harassment or targeted negative behavior,Contribution type: Community and code work,112,23.2,65.2
46,Harassment or targeted negative behavior,Contribution type: Community work only,87,16.1,52.9
46,Harassment or targeted negative behavior,Contribution type: Code / project work only,35,8.6,45.7
46,Harassment or targeted negative behavior,Contributor identity: Agree,105,15.2,57.1
46,Harassment or targeted negative behavior,Contributor identity: Neutral,90,12.2,55.6
46,Harassment or targeted negative behavior,Contributor identity: Disagree,81,13.6,44.4
46,Harassment or targeted negative behavior,Contributor identity: Strongly disagree,79,7.6,43.0
46,Harassment or targeted negative behavior,Contributor identity: Strongly agree,76,21.1,55.3
46,Harassment or targeted negative behavior,Community membership: Agree,166,13.9,50.6
46,Harassment or targeted negative behavior,Community membership: Strongly agree,142,19.0,57.0
46,Harassment or targeted negative behavior,Community membership: Neutral,70,10.0,41.4
46,Harassment or targeted negative behavior,Community membership: Disagree,36,5.6,52.8
46,Harassment or targeted negative behavior,Community membership: Strongly disagree,17,5.9,52.9
46,Harassment or targeted negative behavior,Uses AI at work: Uses AI,308,14.6,52.9
46,Harassment or targeted negative behavior,Uses AI at work: Does not use AI,123,12.2,48.0
46,Harassment or targeted negative behavior,Contributes to open source elsewhere: Yes,228,14.9,54.8
46,Harassment or targeted negative behavior,Contributes to open source elsewhere: No,203,12.8,47.8
46,Harassment or targeted negative behavior,Volunteers outside WordPress and open source: Yes,251,15.9,55.0
46,Harassment or targeted negative behavior,Volunteers outside WordPress and open source: No,180,11.1,46.7
46,Harassment or targeted negative behavior,Income depends on WordPress: Yes,205,15.6,59.5
46,Harassment or targeted negative behavior,Income depends on WordPress: No,138,8.7,38.4
46,Harassment or targeted negative behavior,Income depends on WordPress: Partially,82,15.9,52.4
46,Conflict or ongoing interpersonal tension between community members,All respondents,431,17.4,68.2
46,Conflict or ongoing interpersonal tension between community members,Gender: Male,300,15.3,67.0
46,Conflict or ongoing interpersonal tension between community members,Gender: Female,80,23.8,71.2
46,Conflict or ongoing interpersonal tension between community members,Gender: Prefer not to answer,35,17.1,68.6
46,Conflict or ongoing interpersonal tension between community members,Gender: Non-binary,15,26.7,73.3
46,Conflict or ongoing interpersonal tension between community members,Age: 35-44,161,16.1,72.0
46,Conflict or ongoing interpersonal tension between community members,Age: 45-54,135,17.8,68.9
46,Conflict or ongoing interpersonal tension between community members,Age: 55-64,65,16.9,67.7
46,Conflict or ongoing interpersonal tension between community members,Age: 25-34,39,23.1,61.5
46,Conflict or ongoing interpersonal tension between community members,Age: 65-74,20,15.0,50.0
46,Conflict or ongoing interpersonal tension between community members,Location: Non-US,246,15.9,63.4
46,Conflict or ongoing interpersonal tension between community members,Location: US,174,19.5,75.3
46,Conflict or ongoing interpersonal tension between community members,Work role: Employee only,150,14.7,64.0
46,Conflict or ongoing interpersonal tension between community members,Work role: Owner/Exec,120,21.7,72.5
46,Conflict or ongoing interpersonal tension between community members,Work role: Freelancer only,79,20.3,69.6
46,Conflict or ongoing interpersonal tension between community members,Work role: Employee+Freelance,40,12.5,70.0
46,Conflict or ongoing interpersonal tension between community members,Work role: Other/Non-working,22,18.2,63.6
46,Conflict or ongoing interpersonal tension between community members,Work role: Employee+Owner,20,10.0,70.0
46,Conflict or ongoing interpersonal tension between community members,Pay status: Unpaid,248,16.1,65.3
46,Conflict or ongoing interpersonal tension between community members,Pay status: Paid directly,116,24.1,73.3
46,Conflict or ongoing interpersonal tension between community members,Pay status: Paid indirectly,67,10.4,70.1
46,Conflict or ongoing interpersonal tension between community members,Tenure (combined): 15+ years,135,20.7,74.8
46,Conflict or ongoing interpersonal tension between community members,Tenure (combined): 10-15 years,122,23.0,73.8
46,Conflict or ongoing interpersonal tension between community members,Tenure (combined): 6-10 years,56,17.9,69.6
46,Conflict or ongoing interpersonal tension between community members,Tenure (combined): 3-6 years,29,10.3,48.3
46,Conflict or ongoing interpersonal tension between community members,Tenure (combined): 1-2 years,15,13.3,60.0
46,Conflict or ongoing interpersonal tension between community members,Participation level: Occasional participation,144,11.1,67.4
46,Conflict or ongoing interpersonal tension between community members,Participation level: Observational only,97,15.5,66.0
46,Conflict or ongoing interpersonal tension between community members,Participation level: Moderately active participation,76,27.6,76.3
46,Conflict or ongoing interpersonal tension between community members,Participation level: Very active participation,44,27.3,84.1
46,Conflict or ongoing interpersonal tension between community members,Participation level: Inactive,35,20.0,60.0
46,Conflict or ongoing interpersonal tension between community members,Participation level: Do not participate / Not applicable,35,11.4,48.6
46,Conflict or ongoing interpersonal tension between community members,Participation change: No change / About the same,199,9.0,57.8
46,Conflict or ongoing interpersonal tension between community members,Participation change: Decreased,94,22.3,77.7
46,Conflict or ongoing interpersonal tension between community members,Participation change: Significantly decreased,73,34.2,86.3
46,Conflict or ongoing interpersonal tension between community members,Participation change: Increased,48,18.8,66.7
46,Conflict or ongoing interpersonal tension between community members,Participation change: Significantly increased,17,11.8,64.7
46,Conflict or ongoing interpersonal tension between community members,"Event relationship: Never attended, not interested",120,10.8,55.8
46,Conflict or ongoing interpersonal tension between community members,Event relationship: Stopped attending,94,22.3,79.8
46,Conflict or ongoing interpersonal tension between community members,"Event relationship: Attend, multiple times a year",91,23.1,76.9
46,Conflict or ongoing interpersonal tension between community members,"Event relationship: Attend, annually or occasionally",90,18.9,68.9
46,Conflict or ongoing interpersonal tension between community members,"Event relationship: Never attended, would like to",28,3.6,50.0
46,Conflict or ongoing interpersonal tension between community members,Contribution type: No contribution work,197,9.6,57.9
46,Conflict or ongoing interpersonal tension between community members,Contribution type: Community and code work,112,29.5,83.9
46,Conflict or ongoing interpersonal tension between community members,Contribution type: Community work only,87,20.7,72.4
46,Conflict or ongoing interpersonal tension between community members,Contribution type: Code / project work only,35,14.3,65.7
46,Conflict or ongoing interpersonal tension between community members,Contributor identity: Agree,105,20.0,76.2
46,Conflict or ongoing interpersonal tension between community members,Contributor identity: Neutral,90,14.4,67.8
46,Conflict or ongoing interpersonal tension between community members,Contributor identity: Disagree,81,12.3,63.0
46,Conflict or ongoing interpersonal tension between community members,Contributor identity: Strongly disagree,79,12.7,55.7
46,Conflict or ongoing interpersonal tension between community members,Contributor identity: Strongly agree,76,27.6,76.3
46,Conflict or ongoing interpersonal tension between community members,Community membership: Agree,166,15.7,65.7
46,Conflict or ongoing interpersonal tension between community members,Community membership: Strongly agree,142,24.6,74.6
46,Conflict or ongoing interpersonal tension between community members,Community membership: Neutral,70,12.9,64.3
46,Conflict or ongoing interpersonal tension between community members,Community membership: Disagree,36,8.3,61.1
46,Conflict or ongoing interpersonal tension between community members,Community membership: Strongly disagree,17,11.8,70.6
46,Conflict or ongoing interpersonal tension between community members,Uses AI at work: Uses AI,308,18.8,71.4
46,Conflict or ongoing interpersonal tension between community members,Uses AI at work: Does not use AI,123,13.8,60.2
46,Conflict or ongoing interpersonal tension between community members,Contributes to open source elsewhere: Yes,228,18.9,69.7
46,Conflict or ongoing interpersonal tension between community members,Contributes to open source elsewhere: No,203,15.8,66.5
46,Conflict or ongoing interpersonal tension between community members,Volunteers outside WordPress and open source: Yes,251,19.1,70.1
46,Conflict or ongoing interpersonal tension between community members,Volunteers outside WordPress and open source: No,180,15.0,65.6
46,Conflict or ongoing interpersonal tension between community members,Income depends on WordPress: Yes,205,20.0,76.1
46,Conflict or ongoing interpersonal tension between community members,Income depends on WordPress: No,138,10.9,52.9
46,Conflict or ongoing interpersonal tension between community members,Income depends on WordPress: Partially,82,18.3,73.2
46,Language or content that made me or others feel unwelcome or excluded,All respondents,431,22.7,49.4
46,Language or content that made me or others feel unwelcome or excluded,Gender: Male,300,18.3,45.7
46,Language or content that made me or others feel unwelcome or excluded,Gender: Female,80,31.2,56.2
46,Language or content that made me or others feel unwelcome or excluded,Gender: Prefer not to answer,35,34.3,62.9
46,Language or content that made me or others feel unwelcome or excluded,Gender: Non-binary,15,40.0,53.3
46,Language or content that made me or others feel unwelcome or excluded,Age: 35-44,161,27.3,52.2
46,Language or content that made me or others feel unwelcome or excluded,Age: 45-54,135,20.7,49.6
